Obscured Name,Application State,nom status,awarded
Student 2,in progress,,
Student 3,pending review,runner-up,2000
Student 4,pending review,alternate,
Student 5,pending review,runner-up,2000
Student 6,pending review,runner-up,2000
Student 7,pending review,,
Student 8,pending review,runner-up,2000
Student 9,pending review,,
Student 10,pending review,,
Student 11,pending review,runner-up,2000
Student 12,pending review,,
Student 13,in progress,,
Student 14,in progress,,
Student 15,in progress,,
Student 16,pending review,,
Student 17,pending review,alternate,
Student 18,in progress,,
Student 19,in progress,,
Student 20,pending review,runner-up,2000
Student 21,pending review,,
Student 22,in progress,,
Student 23,in progress,,
Student 24,in progress,,
Student 25,pending review,runner-up,2000
Student 26,in progress,,
Student 27,pending review,,
Student 28,pending review,alternate,
Student 29,in progress,,
Student 30,pending review,,
Student 31,in progress,,
Student 32,in progress,,
Student 33,in progress,,
Student 34,pending review,runner-up,2000
Student 35,pending review,,
Student 36,pending review,runner-up,2000
Student 37,in progress,,
Student 38,pending review,runner-up,2000
Student 39,pending review,runner-up,2000
Student 40,pending review,alternate,
Student 41,pending review,,
Student 42,pending review,runner-up,2000
Student 43,in progress,,
Student 44,pending review,winner,10000
Student 45,pending review,runner-up,2000
Student 46,pending review,alternate,
Student 47,in progress,,
Student 48,pending review,runner-up,2000
Student 49,pending review,,
Student 50,pending review,,
Student 51,pending review,runner-up,2000
Student 52,pending review,alternate,
Student 53,in progress,,
Student 54,pending review,runner-up,2000
Student 55,in progress,,
Student 56,in progress,,
Student 57,in progress,,
Student 58,in progress,,
Student 59,pending review,,
Student 60,pending review,,
Student 61,pending review,alternate,
Student 62,in progress,,
Student 63,in progress,,
Student 64,in progress,,
Student 65,pending review,runner-up,2000
Student 66,pending review,alternate,
Student 67,in progress,,
Student 68,pending review,winner,10000
Student 69,pending review,,
Student 70,in progress,,
Student 71,pending review,alternate,
Student 72,pending review,winner,10000
Student 73,pending review,alternate,
Student 74,pending review,alternate,
Student 75,pending review,winner,10000
Student 76,pending review,,
Student 77,pending review,,
Student 78,pending review,alternate,
Student 79,in progress,,
Student 80,pending review,winner,10000
Student 81,pending review,runner-up,2000
Student 82,pending review,alternate,
Student 83,pending review,,
Student 84,pending review,,
Student 85,pending review,,
Student 86,in progress,,
Student 87,pending review,,
Student 88,pending review,,
Student 89,pending review,,
Student 90,in progress,,
Student 91,pending review,winner,10000
Student 92,pending review,runner-up,2000
Student 93,pending review,runner-up,2000
Student 94,pending review,,
Student 95,pending review,,
Student 96,pending review,,
Student 97,in progress,,
Student 98,in progress,,
Student 99,pending review,,
Student 100,pending review,alternate,
Student 101,pending review,winner,10000
Student 102,pending review,runner-up,2000
Student 103,pending review,winner,10000
Student 104,pending review,,
Student 105,in progress,,
